Date,Close,High,Low,Open,Volume
,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
2025-03-05,1089.3013916015625,1095.424731867092,1046.1656514698666,1046.1656514698666,1693328
2025-03-06,1091.3837890625,1098.9201240940788,1076.0632124453557,1084.3432671388953,2514922
2025-03-07,1109.852783203125,1113.596196229102,1086.4504296469365,1091.2846072574591,1051212
2025-03-10,1114.7861328125,1127.4789966736328,1068.5268671225667,1110.224676472697,1013160
2025-03-11,1116.2735595703125,1126.7104494849111,1107.5225068165055,1111.018013364375,957110
2025-03-12,1088.5576171875,1117.612312096014,1086.6486884101705,1115.0836169686575,717178
2025-03-13,1086.7974853515625,1096.6146088058367,1082.905425199095,1091.8300608760499,584340
2025-03-17,1078.0712890625,1092.4498693180497,1068.9730700332736,1078.6662405875877,820010
2025-03-18,1078.0712890625,1078.0712890625,1078.0712890625,1078.0712890625,0
2025-03-19,1082.8558349609375,1097.4326920123162,1080.9469060633917,1094.011629963969,845086
2025-03-20,1101.4736328125,1105.0434629756967,1081.442710647242,1092.7720885691242,953748
2025-03-21,1124.9256591796875,1127.9748614848907,1106.6300822040896,1111.0675854715148,1585274
2025-03-24,1122.2977294921875,1134.7178714448817,1120.5623836997424,1127.0327686497678,861902
2025-03-25,1117.9842529296875,1130.4539043766983,1105.7623869925299,1120.5376420576047,1484284
2025-03-26,1112.3319091796875,1125.4214480509463,1110.6710078725016,1118.0089451395818,1066938
2025-03-27,1111.6378173828125,1124.504143492246,1103.308132851023,1110.720514701896,1731172
2025-03-28,1115.9512939453125,1134.395516380037,1112.1335574247883,1112.1335574247883,1432302
2025-04-01,1107.646484375,1134.3460686866365,1099.7631043691986,1121.4796216827262,2040110
2025-04-02,1096.093994140625,1105.663211164362,1065.006537031861,1105.663211164362,2601704
2025-04-03,1113.422607421875,1115.1084445420324,1088.3097230517944,1089.8219771727197,635716
2025-04-04,1121.603515625,1131.8421284026278,1099.341556650578,1107.6464257785055,1183470
2025-04-07,1115.0836181640625,1119.2237058059277,1070.956253994831,1070.956253994831,1474570
2025-04-08,1128.173095703125,1131.9165088721077,1106.2829954395036,1118.0585567354983,1747016
2025-04-09,1162.607421875,1171.4081045962143,1126.586526728029,1132.0404709496268,3706748
2025-04-11,1170.81298828125,1176.068655481316,1151.302815719063,1163.0287469381517,2236634
2025-04-15,1174.0357666015625,1180.7292433120574,1162.9792315404984,1180.7292433120574,1561748
2025-04-16,1181.67138671875,1185.0429400120236,1163.6733469596436,1163.6733469596436,1354424
2025-04-17,1198.1820068359375,1201.4543007242992,1169.424846532963,1176.0686937699186,1815842
2025-04-21,1189.6539306640625,1200.363542285862,1185.241242393372,1190.4472800612784,953130
2025-04-22,1193.5709228515625,1199.8677251333404,1184.9933318465633,1192.4305284899517,975908
2025-04-23,1206.5115966796875,1210.7260081958134,1189.95148690616,1199.5207043229886,1165112
2025-04-24,1206.412353515625,1246.9698873824586,1179.539308979272,1207.304841262937,4674476
2025-04-25,1196.6448974609375,1207.404017346985,1183.654618661041,1203.2887444740402,2256568
2025-04-28,1192.92626953125,1199.0743032991143,1183.0100079391366,1189.951391053616,1961052
2025-04-29,1183.7537841796875,1192.9263265911322,1169.7222491460695,1192.9263265911322,1952120
2025-04-30,1184.100830078125,1193.1246043560802,1172.2509453186292,1177.5561213187357,2040862
2025-05-02,1156.136962890625,1182.415056101918,1153.7570358996018,1177.556063713603,1265148
2025-05-05,1154.35205078125,1166.1524269300476,1152.1208918011544,1164.615357880066,1827594
2025-05-06,1168.383544921875,1177.1594123927596,1155.2444980555777,1158.7151896806374,1742026
2025-05-07,1159.4093017578125,1168.1356607155126,1153.9058489902743,1155.7403332461204,1353304
2025-05-08,1160.5496826171875,1165.210398320426,1147.8569400648023,1154.252880545485,2693092
2025-05-09,1152.9637451171875,1164.6649828060067,1136.2548677003483,1141.3617668877937,1816458
2025-05-12,1181.9193115234375,1184.497515476424,1163.1775518240647,1170.019796926772,801500
2025-05-13,1175.1761474609375,1184.894132326367,1161.1942427020729,1180.0351398936523,2333552
2025-05-14,1175.2752685546875,1179.6384478391376,1166.796937572244,1172.5979263598347,1203066
2025-05-15,1189.0093994140625,1197.338962346519,1160.9463305760237,1175.0770034017407,1928224
2025-05-16,1194.3145751953125,1197.190315278282,1178.3989268563382,1197.190315278282,1369102
2025-05-19,1193.81884765625,1200.9089994409587,1188.067367078191,1191.934733601498,845862
2025-05-20,1169.375244140625,1199.7686126223807,1167.292853245145,1199.7686126223807,1555350
2025-05-21,1186.282470703125,1188.9598130221252,1169.3751955849384,1169.3751955849384,1350296
2025-05-22,1170.9617919921875,1182.5142616087232,1160.2026717670492,1182.5142616087232,2161612
2025-05-23,1197.091064453125,1201.8509184901545,1166.2020060845487,1168.1356286975263,1154460
2025-05-26,1216.725341796875,1222.1296561427396,1192.6287768285938,1197.0910947080445,1248708
2025-05-27,1220.1463623046875,1230.6080667303845,1205.916551093214,1214.7916778697358,1584098
2025-05-28,1199.3719482421875,1218.0640788274075,1197.8845088685925,1215.7834110834374,1447242
2025-05-29,1207.304931640625,1209.6848587955783,1193.1742579027368,1200.561824876278,1862596
2025-05-30,1188.0673828125,1218.2128449433944,1185.2412722170063,1207.3049562218825,2134920
2025-06-02,1193.0750732421875,1197.7852976389001,1185.4891086883847,1189.9514265379019,2052718
2025-06-03,1185.6873779296875,1203.040836122467,1181.0267832914453,1197.7356602560121,1468888
2025-06-04,1188.7119140625,1191.8355608200256,1182.4646205474487,1184.199966407394,1174082
2025-06-05,1190.5960693359375,1194.413806150538,1180.2831322297034,1192.4305536704207,1467916
2025-06-06,1198.4793701171875,1201.305480504479,1184.9932783555676,1191.8850318480959,1004606
2025-06-09,1197.537353515625,1203.4871104616243,1190.4472022786863,1202.3467161706849,678874
2025-06-10,1205.5198974609375,1209.238495632403,1194.3641029465407,1197.5373793483952,1351562
2025-06-11,1199.4710693359375,1214.74213756061,1193.9179866309996,1211.0235391803224,1751374
2025-06-12,1182.811767578125,1203.8838241107592,1173.2425506372108,1203.3383812871377,2717158
2025-06-13,1178.4486083984375,1180.0351861197307,1163.574215296088,1171.110550258321,829756
2025-06-16,1184.8941650390625,1187.4723689373611,1172.6476057360549,1175.1266712244417,532308
2025-06-17,1171.110595703125,1183.4562940379,1166.6482775992604,1180.0848616423696,1531068
2025-06-18,1160.599365234375,1172.1518350377612,1152.9637706250746,1172.0525755761396,1308554
2025-06-19,1149.740966796875,1160.5993464822116,1145.3282785584743,1160.5993464822116,1474774
2025-06-20,1170.317138671875,1188.959758788556,1149.740895973908,1159.260603891941,22941194
2025-06-23,1169.6727294921875,1189.4059939807669,1165.6069652445958,1176.5644831444558,1297744
2025-06-24,1172.99462890625,1181.8201260905964,1168.9784944704156,1177.5560851105283,1100860
2025-06-25,1192.1329345703125,1204.2803551672364,1176.068639016484,1176.068639016484,2300288
2025-06-26,1205.5198974609375,1211.5689139916822,1191.5379925458503,1199.8676766595568,3115098
2025-06-27,1219.0556640625,1221.5347296017526,1202.8922293754456,1214.246301125974,2375672
2025-06-30,1222.3280029296875,1227.434901832377,1211.2713471030372,1223.6666740279559,1658010
2025-07-01,1194.959228515625,1225.3524754138627,1192.5296716402586,1224.6583854769713,1077220
2025-07-02,1184.001708984375,1196.8432201391188,1180.0352040966552,1195.157503981087,1475052
2025-07-03,1184.199951171875,1194.4633791071449,1182.5142350631502,1189.9018017811943,1263638
2025-07-04,1196.4000244140625,1198.5,1183.550048828125,1192.449951171875,790114
2025-07-07,1211.050048828125,1213.0,1194.0,1199.699951171875,868414
2025-07-08,1208.949951171875,1217.8499755859375,1203.5,1211.050048828125,711576
2025-07-09,1213.9000244140625,1218.25,1207.25,1210.0,790360
2025-07-10,1200.699951171875,1218.449951171875,1198.800048828125,1212.5,569850
2025-07-11,1201.75,1214.3499755859375,1198.550048828125,1202.0,741064
2025-07-14,1196.449951171875,1207.3499755859375,1188.5,1202.6500244140625,942914
2025-07-15,1208.1500244140625,1210.0,1190.050048828125,1196.449951171875,1064608
2025-07-16,1230.0,1245.0,1203.699951171875,1208.0,2810630
2025-07-17,1224.550048828125,1235.0,1223.050048828125,1229.0,546708
2025-07-18,1236.0999755859375,1238.449951171875,1215.5,1229.5,899652
2025-07-21,1236.300048828125,1239.199951171875,1222.5,1236.449951171875,957974
2025-07-22,1221.75,1238.75,1219.0,1236.4000244140625,774548
2025-07-23,1226.25,1234.5,1216.800048828125,1230.0,720228
2025-07-24,1161.050048828125,1237.5,1155.0,1226.4000244140625,5372012
2025-07-25,1137.300048828125,1157.449951171875,1133.0,1157.449951171875,3178714
2025-07-28,1114.6500244140625,1149.949951171875,1111.050048828125,1137.3499755859375,1879938
2025-07-29,1111.8499755859375,1129.050048828125,1109.949951171875,1115.0,1801922
2025-07-30,1115.75,1119.75,1110.8499755859375,1115.0,929698
2025-07-31,1123.8499755859375,1132.949951171875,1110.5,1112.5,1346218
2025-08-01,1138.25,1143.8499755859375,1121.550048828125,1123.8499755859375,1410024
2025-08-04,1138.699951171875,1143.300048828125,1129.0,1143.0,812794
2025-08-05,1133.6500244140625,1141.199951171875,1125.050048828125,1139.8499755859375,1135934
2025-08-06,1116.6500244140625,1136.199951171875,1113.050048828125,1135.0,1127544
2025-08-07,1117.300048828125,1123.199951171875,1107.5,1118.0,1014230
2025-08-08,1096.5,1126.4000244140625,1093.4000244140625,1122.0,1242852
2025-08-11,1105.0,1108.9000244140625,1087.0,1097.0,1038967
2025-08-12,1091.0999755859375,1109.5999755859375,1089.0,1108.0,758197
2025-08-13,1096.9000244140625,1100.800048828125,1086.5999755859375,1091.0999755859375,813725
2025-08-14,1089.4000244140625,1103.0,1084.699951171875,1099.9000244140625,941698
2025-08-18,1144.0999755859375,1169.9000244140625,1120.5,1120.5,3478231
2025-08-19,1161.4000244140625,1168.0,1130.199951171875,1149.5999755859375,1851158
2025-08-20,1190.300048828125,1192.800048828125,1156.699951171875,1165.0,1652532
2025-08-21,1179.4000244140625,1190.300048828125,1168.800048828125,1190.0,991563
2025-08-22,1162.9000244140625,1191.0,1158.0,1175.0,921658
2025-08-25,1153.0,1166.800048828125,1148.800048828125,1162.9000244140625,931358
2025-08-26,1162.199951171875,1179.0,1149.0,1149.0,3619892
2025-08-27,1162.199951171875,1162.199951171875,1162.199951171875,1162.199951171875,0
2025-08-28,1162.4000244140625,1168.199951171875,1155.0,1165.5999755859375,1065888
2025-08-29,1156.199951171875,1184.4000244140625,1150.0,1160.300048828125,1593255
2025-09-01,1174.4000244140625,1176.0,1156.199951171875,1157.9000244140625,643866
2025-09-02,1200.9000244140625,1202.5,1172.4000244140625,1174.4000244140625,1773623
2025-09-03,1194.800048828125,1206.5,1191.300048828125,1206.5,827824
2025-09-04,1212.5999755859375,1238.199951171875,1208.0,1230.0,3346196
2025-09-05,1208.5,1216.4000244140625,1191.0,1212.0,1434458
2025-09-08,1187.699951171875,1211.0,1185.199951171875,1208.5,1112974
2025-09-09,1202.199951171875,1204.0,1187.9000244140625,1195.199951171875,1295618
2025-09-10,1217.5,1219.199951171875,1201.699951171875,1208.199951171875,1015673
2025-09-11,1220.800048828125,1224.9000244140625,1212.0999755859375,1212.0999755859375,783258
